Asignacion,Fecha base,Fiesta,Año,Fecha
Con respecto a la Pascua,Pascua,Sagrado Corazón de Jesús,2010,2010-06-14
Al lunes siguiente,29 de junio,San Pedro y San Pablo,2010,2010-07-05
No se mueve,20 de julio,Día de la Independencia,2010,2010-07-20
No se mueve,7 de agosto,Batalla de Boyacá,2010,2010-08-07
Al lunes siguiente,15 de agosto,Asunción de la Virgen,2010,2010-08-16
Al lunes siguiente,12 de octubre,Día de la Raza,2010,2010-10-18
Al lunes siguiente,1 de noviembre,Todos los Santos,2010,2010-11-01
Al lunes siguiente,11 de noviembre,Independencia de Cartagena,2010,2010-11-15
No se mueve,8 de diciembre,Inmaculada Concepción,2010,2010-12-08
No se mueve,25 de diciembre,Navidad,2010,2010-12-25
No se mueve,1 de enero,Año Nuevo,2011,2011-01-01
Al lunes siguiente,6 de enero,Epifanía (Reyes Magos),2011,2011-01-10
Al lunes siguiente,19 de marzo,San José,2011,2011-03-21
Con respecto a la Pascua,Pascua,Domingo de Ramos,2011,2011-04-17
Con respecto a la Pascua,Pascua,Jueves Santo,2011,2011-04-21
Con respecto a la Pascua,Pascua,Viernes Santo,2011,2011-04-22
Con respecto a la Pascua,Pascua,Domingo de Pascua,2011,2011-04-24
No se mueve,1 de mayo,Día del Trabajo,2011,2011-05-01
Con respecto a la Pascua,Pascua,Ascensión de Jesús,2011,2011-06-06
Con respecto a la Pascua,Pascua,Corpus Christi,2011,2011-06-27
Con respecto a la Pascua,Pascua,Sagrado Corazón de Jesús,2011,2011-07-04
Al lunes siguiente,29 de junio,San Pedro y San Pablo,2011,2011-07-04
No se mueve,20 de julio,Día de la Independencia,2011,2011-07-20
No se mueve,7 de agosto,Batalla de Boyacá,2011,2011-08-07
Al lunes siguiente,15 de agosto,Asunción de la Virgen,2011,2011-08-15
Al lunes siguiente,12 de octubre,Día de la Raza,2011,2011-10-17
Al lunes siguiente,1 de noviembre,Todos los Santos,2011,2011-11-07
Al lunes siguiente,11 de noviembre,Independencia de Cartagena,2011,2011-11-14
No se mueve,8 de diciembre,Inmaculada Concepción,2011,2011-12-08
No se mueve,25 de diciembre,Navidad,2011,2011-12-25
No se mueve,1 de enero,Año Nuevo,2012,2012-01-01
Al lunes siguiente,6 de enero,Epifanía (Reyes Magos),2012,2012-01-09
Al lunes siguiente,19 de marzo,San José,2012,2012-03-19
Con respecto a la Pascua,Pascua,Domingo de Ramos,2012,2012-04-01
Con respecto a la Pascua,Pascua,Jueves Santo,2012,2012-04-05
Con respecto a la Pascua,Pascua,Viernes Santo,2012,2012-04-06
Con respecto a la Pascua,Pascua,Domingo de Pascua,2012,2012-04-08
No se mueve,1 de mayo,Día del Trabajo,2012,2012-05-01
Con respecto a la Pascua,Pascua,Ascensión de Jesús,2012,2012-05-21
Con respecto a la Pascua,Pascua,Corpus Christi,2012,2012-06-11
Con respecto a la Pascua,Pascua,Sagrado Corazón de Jesús,2012,2012-06-18
Al lunes siguiente,29 de junio,San Pedro y San Pablo,2012,2012-07-02
No se mueve,20 de julio,Día de la Independencia,2012,2012-07-20
No se mueve,7 de agosto,Batalla de Boyacá,2012,2012-08-07
Al lunes siguiente,15 de agosto,Asunción de la Virgen,2012,2012-08-20
Al lunes siguiente,12 de octubre,Día de la Raza,2012,2012-10-15
Al lunes siguiente,1 de noviembre,Todos los Santos,2012,2012-11-05
Al lunes siguiente,11 de noviembre,Independencia de Cartagena,2012,2012-11-12
No se mueve,8 de diciembre,Inmaculada Concepción,2012,2012-12-08
No se mueve,25 de diciembre,Navidad,2012,2012-12-25
No se mueve,1 de enero,Año Nuevo,2013,2013-01-01
Al lunes siguiente,6 de enero,Epifanía (Reyes Magos),2013,2013-01-07
Al lunes siguiente,19 de marzo,San José,2013,2013-03-25
Con respecto a la Pascua,Pascua,Domingo de Ramos,2013,2013-03-24
Con respecto a la Pascua,Pascua,Jueves Santo,2013,2013-03-28
Con respecto a la Pascua,Pascua,Viernes Santo,2013,2013-03-29
Con respecto a la Pascua,Pascua,Domingo de Pascua,2013,2013-03-31
No se mueve,1 de mayo,Día del Trabajo,2013,2013-05-01
Con respecto a la Pascua,Pascua,Ascensión de Jesús,2013,2013-05-13
Con respecto a la Pascua,Pascua,Corpus Christi,2013,2013-06-03
Con respecto a la Pascua,Pascua,Sagrado Corazón de Jesús,2013,2013-06-10
Al lunes siguiente,29 de junio,San Pedro y San Pablo,2013,2013-07-01
No se mueve,20 de julio,Día de la Independencia,2013,2013-07-20
No se mueve,7 de agosto,Batalla de Boyacá,2013,2013-08-07
Al lunes siguiente,15 de agosto,Asunción de la Virgen,2013,2013-08-19
Al lunes siguiente,12 de octubre,Día de la Raza,2013,2013-10-14
Al lunes siguiente,1 de noviembre,Todos los Santos,2013,2013-11-04
Al lunes siguiente,11 de noviembre,Independencia de Cartagena,2013,2013-11-11
No se mueve,8 de diciembre,Inmaculada Concepción,2013,2013-12-08
No se mueve,25 de diciembre,Navidad,2013,2013-12-25
No se mueve,1 de enero,Año Nuevo,2014,2014-01-01
Al lunes siguiente,6 de enero,Epifanía (Reyes Magos),2014,2014-01-06
Al lunes siguiente,19 de marzo,San José,2014,2014-03-24
Con respecto a la Pascua,Pascua,Domingo de Ramos,2014,2014-04-13
Con respecto a la Pascua,Pascua,Jueves Santo,2014,2014-04-17
Con respecto a la Pascua,Pascua,Viernes Santo,2014,2014-04-18
Con respecto a la Pascua,Pascua,Domingo de Pascua,2014,2014-04-20
No se mueve,1 de mayo,Día del Trabajo,2014,2014-05-01
Con respecto a la Pascua,Pascua,Ascensión de Jesús,2014,2014-06-02
Con respecto a la Pascua,Pascua,Corpus Christi,2014,2014-06-23
Con respecto a la Pascua,Pascua,Sagrado Corazón de Jesús,2014,2014-06-30
Al lunes siguiente,29 de junio,San Pedro y San Pablo,2014,2014-06-30
No se mueve,20 de julio,Día de la Independencia,2014,2014-07-20
No se mueve,7 de agosto,Batalla de Boyacá,2014,2014-08-07
